"Player","Pos","Class","School","Conference","Season","Total"
"Todd Boyd","WR","JR","Georgia State","Sun Belt",2016,0.1051
"Demarcus Kirk","RB","FR","Georgia State","Sun Belt",2016,0.1051
"Javonte Lain","DL","FR","Georgia State","Sun Belt",2016,0.1051
"Will Cunningham","DL","JR","Georgia State","Sun Belt",2016,0.1051
"Seth-Patrick Holman","OL","SO","Georgia State","Sun Belt",2016,0.1051
"Robert Davis","WR","SR","Georgia State","Sun Belt",2016,0.1051
"Cole Turner","OL","JR","Wyoming","Mountain West",2017,0.1051
"C.J. Johnson","WR","SO","Wyoming","Mountain West",2017,0.1051
"Justis Borton","OL","FR","Wyoming","Mountain West",2017,0.1051
"Kolton Donovan","OL","SR","Wyoming","Mountain West",2017,0.1051
"Austin Conway","WR","SO","Wyoming","Mountain West",2017,0.1051
"Kellen Overstreet","RB","SO","Wyoming","Mountain West",2017,0.1051
"Josh Allen","QB","JR","Wyoming","Mountain West",2017,0.1051
"Jaylon Watson","RB","SO","Wyoming","Mountain West",2017,0.1051
"James Price","WR","JR","Wyoming","Mountain West",2017,0.1051
"Zach Wallace","OL","JR","Wyoming","Mountain West",2017,0.1051
"Josh Harshman","TE","JR","Wyoming","Mountain West",2017,0.1051
"Sharly Azard","LB","SR","USF","Big East",2011,0.105
"Spencer Beale","OL","SO","Idaho","WAC",2012,0.105
"Camryn Harris","WR","FR","Idaho","WAC",2012,0.105
"Justin Veltung","WR","SR","Idaho","WAC",2012,0.105
"Kyrian Obidiegwu","DB","SO","Fresno State","Mountain West",2013,0.105
"Roland Dunn","DB","SO","Louisiana Tech","CUSA",2015,0.105
"Chris Cermin","DB","JR","Houston","CUSA",2011,0.1049
"Charleston Girley","DB","FR","Arkansas State","Sun Belt",2012,0.1049
"Darreus Rogers","WR","SO","USC","Pac-12",2014,0.1049
"Joey Augello","DL","JR","USC","Pac-12",2014,0.1049
"Zach Banner","OL","SO","USC","Pac-12",2014,0.1049
"James Toland IV","RB","FR","USC","Pac-12",2014,0.1049
"Steven Mitchell","WR","FR","USC","Pac-12",2014,0.1049
"Kris Albarado","P","JR","USC","Pac-12",2014,0.1049
"Ke'Shawn Vaughn","RB","FR","Illinois","Big Ten",2015,0.1049
"Ryan Frain","K","JR","Illinois","Big Ten",2015,0.1049
"Nick Allegretti","OL","FR","Illinois","Big Ten",2015,0.1049
"Kendrick Foster","RB","SO","Illinois","Big Ten",2015,0.1049
"Taylor Zalewski","K","SR","Illinois","Big Ten",2015,0.1049
"Darrien McNair","LB","FR","North Texas","CUSA",2015,0.1049
"Nate Peterman","QB","JR","Pittsburgh","ACC",2015,0.1049
"J.P. Holtz","TE","SR","Pittsburgh","ACC",2015,0.1049
"Adam Bisnowaty","OL","JR","Pittsburgh","ACC",2015,0.1049
"Colton Lively","RB","SO","Pittsburgh","ACC",2015,0.1049
"Elijah Zeise","WR","FR","Pittsburgh","ACC",2015,0.1049
"Jeremiah Dadeboe","DB","FR","Buffalo","MAC",2016,0.1049
"Noah Waddell","DL","SO","Duke","ACC",2017,0.1049
"Brittain Brown","RB","FR","Duke","ACC",2017,0.1049
"Ben Wyatt","OL","FR","Duke","ACC",2017,0.1049
"T.J. Rahming","WR","JR","Duke","ACC",2017,0.1049
"Christian Harris","OL","JR","Duke","ACC",2017,0.1049
"Austin Parker","K","SO","Duke","ACC",2017,0.1049
"Danny Doyle","DL","JR","Duke","ACC",2017,0.1049
"Scott Jones","DL","SO","Duke","ACC",2017,0.1049
"Axel Nyembwe","DL","FR","Duke","ACC",2017,0.1049
"Dorian Crawford","DB","JR","Texas Tech","Big 12",2013,0.1048
"Chrishawn Dupuy","DB","SR","Miami (OH)","MAC",2014,0.1048
"Bobby Esiaba","LB","SR","Texas Tech","Big 12",2015,0.1048
"Kahlee Woods","LB","SO","Texas Tech","Big 12",2015,0.1048
"Darryl Randolph","DB","FR","Middle Tennessee","CUSA",2014,0.1047
"Patrick Martin","DB","JR","Middle Tennessee","CUSA",2014,0.1047
"Chris Sharpe","DB","SR","Middle Tennessee","CUSA",2014,0.1047
"Tyree Gillespie","DB","FR","Missouri","SEC",2017,0.1047
"Madre Harper","DB","SO","Oklahoma State","Big 12",2017,0.1047
"Rod Wilks","DB","SO","Tennessee","SEC",2010,0.1046
"Brandon Coleman","WR","SR","Rutgers","American",2013,0.1046
"Tory Delmonico","RB","JR","Navy","American",2017,0.1046
"Malcolm Perry","RB","SO","Navy","American",2017,0.1046
"TJ Salu","OL","SO","Navy","American",2017,0.1046
"Josh Brown","RB","SR","Navy","American",2017,0.1046
"Garret Lewis","QB","JR","Navy","American",2017,0.1046
"Jahmaal Daniel","RB","SR","Navy","American",2017,0.1046
"Craig Scott","WR","SR","Navy","American",2017,0.1046
"Tyler Carmona","WR","SR","Navy","American",2017,0.1046
"Brandon Colon","WR","SR","Navy","American",2017,0.1046
"Ty Fryfogle","WR","JR","Indiana","Big Ten",2019,0.1046
"Harry Crider","OL","JR","Indiana","Big Ten",2019,0.1046
"Whop Philyor","WR","JR","Indiana","Big Ten",2019,0.1046
"Caleb Jones","OL","SO","Indiana","Big Ten",2019,0.1046
"Jamal Pettigrew","TE","JR","LSU","SEC",2019,0.1046
"Stephen Sullivan","TE","SR","LSU","SEC",2019,0.1046
"Ja'Marr Chase","WR","SO","LSU","SEC",2019,0.1046
"Justin Jefferson","WR","JR","LSU","SEC",2019,0.1046
"Joe Burrow","QB","SR","LSU","SEC",2019,0.1046
"Lanard Fournette","RB","SR","LSU","SEC",2019,0.1046
"Derrick Dillon","WR","SR","LSU","SEC",2019,0.1046
"Damien Lewis","OL","SR","LSU","SEC",2019,0.1046
"Chris Curry","RB","FR","LSU","SEC",2019,0.1046
"Malik Lawal","LB","FR","Arizona State","Pac-12",2016,0.1045
"Caleb Felton","LB","FR","Middle Tennessee","CUSA",2017,0.1045
"Mohamed Toure","LB","FR","Rutgers","Big Ten",2019,0.1045
"Tom Steele","LB","SO","BYU","Mountain West",2010,0.1044
"A.J. Van Valkenburg","LB","SR","BYU","Mountain West",2010,0.1044
"Nate Paopao","LB","SR","Eastern Michigan","MAC",2010,0.1044
"Pete White","OL","SR","Temple","American",2013,0.1044
"Nick Visco","K","FR","Temple","American",2013,0.1044
"Paul Layton","P","SR","Temple","American",2013,0.1044
"Jalen Fitzpatrick","WR","JR","Temple","American",2013,0.1044
"Tyler Mayes","P","SO","Temple","American",2013,0.1044
"Clinton Granger","QB","SR","Temple","American",2013,0.1044
"Cody Booth","OL","SR","Temple","American",2013,0.1044
"Robby Anderson","WR","SR","Temple","American",2015,0.1044
"Cole Boozer","TE","SO","Temple","American",2015,0.1044
"Austin Jones","K","SO","Temple","American",2015,0.1044
"Alex Starzyk","P","SO","Temple","American",2015,0.1044
"John Christopher","WR","SR","Temple","American",2015,0.1044
"David Hood","RB","FR","Temple","American",2015,0.1044
"Jordan Jones","DL","SO","Temple","American",2015,0.1044
"BJ Johnson III","WR","SR","Georgia Southern","Sun Belt",2016,0.1044
"Travis Baugus","OL","FR","Georgia Southern","Sun Belt",2016,0.1044
"Montay Crockett","WR","SR","Georgia Southern","Sun Belt",2016,0.1044
"Tyler Bass","K","FR","Georgia Southern","Sun Belt",2016,0.1044
"Obe Fortune","WR","FR","Georgia Southern","Sun Belt",2016,0.1044
"Matt Breida","RB","SR","Georgia Southern","Sun Belt",2016,0.1044
"Curtis Rainey","OL","SO","Georgia Southern","Sun Belt",2016,0.1044
"Favian Upshaw","QB","SR","Georgia Southern","Sun Belt",2016,0.1044
"Chaz Thornton","RB","JR","Georgia Southern","Sun Belt",2016,0.1044
"L.A. Ramsby","RB","JR","Georgia Southern","Sun Belt",2016,0.1044
"Matt Flynn","P","JR","Georgia Southern","Sun Belt",2016,0.1044
"Demarcus Godfrey","RB","JR","Georgia Southern","Sun Belt",2016,0.1044
"Willie Lane","DL","FR","Purdue","Big Ten",2018,0.1044
"Alexander Horvath","RB","FR","Purdue","Big Ten",2018,0.1044
"D.J. Knox","RB","SR","Purdue","Big Ten",2018,0.1044
"Cole Herdman","TE","SR","Purdue","Big Ten",2018,0.1044
"Terry Wright","WR","SR","Purdue","Big Ten",2018,0.1044
"Brycen Hopkins","TE","JR","Purdue","Big Ten",2018,0.1044
"Eric Swingler","OL","SR","Purdue","Big Ten",2018,0.1044
"Jess Trussell","TE","JR","Purdue","Big Ten",2018,0.1044
"Martaze Jackson","DL","FR","Tennessee","SEC",2011,0.1043
"Tyler Bray","QB","SO","Tennessee","SEC",2011,0.1043
"Zach Rogers","WR","JR","Tennessee","SEC",2011,0.1043
"Vincent Dallas","WR","FR","Tennessee","SEC",2011,0.1043
"Channing Fugate","RB","SO","Tennessee","SEC",2011,0.1043
"Da'Rick Rogers","WR","SO","Tennessee","SEC",2011,0.1043
"Arthur Jeffery","DL","SO","Tennessee","SEC",2011,0.1043
"Darchon Taggart","DB","SO","Utah","Pac-12",2013,0.1043
"Kavika Johnson","QB","SO","UTEP","CUSA",2016,0.1043
"Aubrey Miller, Jr.","LB","SO","Missouri","SEC",2018,0.1043
"J'Mar Smith","QB","SR","Louisiana Tech","CUSA",2019,0.1043
"Noah White","OL","FR","Louisiana Tech","CUSA",2019,0.1043
"Kyle Conrad","OL","JR","Louisiana Tech","CUSA",2019,0.1043
"Isaiah Graham","WR","JR","Louisiana Tech","CUSA",2019,0.1043
"Joshua Matthews","WR","SO","Louisiana Tech","CUSA",2019,0.1043
"Jacob Adams","RB","SO","Louisiana Tech","CUSA",2019,0.1043
"Smoke Harris","WR","FR","Louisiana Tech","CUSA",2019,0.1043
"Reeves Blankenship","OL","SO","Louisiana Tech","CUSA",2019,0.1043
"Cornelius Lucas","OL","JR","Kansas State","Big 12",2012,0.1042
"John Hubert","RB","JR","Kansas State","Big 12",2012,0.1042
"Stanton Weber","WR","FR","Kansas State","Big 12",2012,0.1042
"Chris Harper","WR","SR","Kansas State","Big 12",2012,0.1042
"Travis Tannahill","TE","SR","Kansas State","Big 12",2012,0.1042
"Tyler Lockett","WR","SO","Kansas State","Big 12",2012,0.1042
"Chaquil Reed","DL","JR","Kansas State","Big 12",2012,0.1042
"Sam Carlson","OL","JR","Colorado State","Mountain West",2014,0.1042
"Joe Hansley","WR","JR","Colorado State","Mountain West",2014,0.1042
"Xavier Williams","WR","FR","Colorado State","Mountain West",2014,0.1042
"Berdale Robins","WR","FR","Nevada","Mountain West",2017,0.1042
"Lawrence Stevens","DB","SO","Rutgers","Big Ten",2018,0.1042
"Brandon Ellerbe","DB","FR","North Carolina","ACC",2011,0.1041
"Chad Voytik","QB","SO","Pittsburgh","ACC",2014,0.1041
"Isaac Bennett","RB","SR","Pittsburgh","ACC",2014,0.1041
"LaQuentin Smith","DL","SR","Pittsburgh","ACC",2014,0.1041
"James Conner","RB","SO","Pittsburgh","ACC",2014,0.1041
"Colin Samuel","DB","JR","UCLA","Pac-12",2018,0.1041
"Darren Markle","LB","SO","Washington State","Pac-12",2011,0.104
"Shea Baker","OL","SO","Rice","CUSA",2019,0.104
"Shahman Moore","DB","JR","Washington State","Pac-12",2019,0.104
"Tim Belles","OL","FR","Memphis","American",2015,0.1039
"Daniel Montiel","TE","JR","Memphis","American",2015,0.1039
"Emmanuel Cooper","DL","FR","Memphis","American",2015,0.1039
"Greg McKillion","WR","JR","Memphis","American",2015,0.1039
"Mose Frazier","WR","SR","Memphis","American",2015,0.1039
"Jake Elliott","K","JR","Memphis","American",2015,0.1039
"Phil Mayhue","WR","SO","Memphis","American",2015,0.1039
"Tyler Uselton","OL","SR","Memphis","American",2015,0.1039
"Drew Kyser","OL","FR","Memphis","American",2015,0.1039
"Alan Cross","TE","SR","Memphis","American",2015,0.1039
"Tevin Jones","WR","SR","Memphis","American",2015,0.1039
"Ryan Groy","OL","FR","Wisconsin","Big Ten",2010,0.1038
"Brian Wozniak","TE","FR","Wisconsin","Big Ten",2010,0.1038
"Casey Dehn","OL","FR","Wisconsin","Big Ten",2010,0.1038
"Montee Ball","RB","SO","Wisconsin","Big Ten",2010,0.1038
"Kyle Wojta","OL","JR","Wisconsin","Big Ten",2010,0.1038
"Isaac Anderson","WR","SR","Wisconsin","Big Ten",2010,0.1038
"Nate Umlor","DL","SO","Minnesota","Big Ten",2018,0.1038
"Max Janes","TE","FR","Minnesota","Big Ten",2018,0.1038
"Tanner Morgan","QB","FR","Minnesota","Big Ten",2018,0.1038
"Zack Annexstad","QB","FR","Minnesota","Big Ten",2018,0.1038
"Jared Weyler","OL","SR","Minnesota","Big Ten",2018,0.1038
"Jake Paulson","TE","FR","Minnesota","Big Ten",2018,0.1038
"Jamari Chisholm","DL","SR","Texas","Big 12",2018,0.1038
"John Burt","WR","SR","Texas","Big 12",2018,0.1038
"Kyle Porter","RB","JR","Texas","Big 12",2018,0.1038
"Tre Watson","RB","SR","Texas","Big 12",2018,0.1038
"D'Andre Christmas-Giles","DL","JR","Texas","Big 12",2018,0.1038
"Ryan Bujcevski","P","FR","Texas","Big 12",2018,0.1038
"Blair Walsh","K","JR","Georgia","SEC",2010,0.1037
"Cordy Glenn","OL","JR","Georgia","SEC",2010,0.1037
"Trinton Sturdivant","OL","JR","Georgia","SEC",2010,0.1037
"Kris Durham","WR","SR","Georgia","SEC",2010,0.1037
"Bruce Figgins","TE","JR","Georgia","SEC",2010,0.1037
"Tavarres King","WR","SO","Georgia","SEC",2010,0.1037
"Matthew DeGenova","DL","JR","Georgia","SEC",2010,0.1037
"Justin Anderson","DL","JR","Georgia","SEC",2010,0.1037
"Kenarious Gates","OL","FR","Georgia","SEC",2010,0.1037
"Carlton Thomas","RB","SO","Georgia","SEC",2010,0.1037
"Shaun Chapas","RB","SR","Georgia","SEC",2010,0.1037
"A.J. Green","WR","JR","Georgia","SEC",2010,0.1037
"Tim Gordon","DB","JR","Memphis","American",2017,0.1037
"Ladarius Jordan","DB","SO","Memphis","American",2017,0.1037
"Trevor Darling","OL","SR","Miami (FL)","ACC",2017,0.1037
"Scott Patchan","DL","SO","Miami (FL)","ACC",2017,0.1037
"Ryan Fines","DL","SO","Miami (FL)","ACC",2017,0.1037
"Navaughn Donaldson","OL","FR","Miami (FL)","ACC",2017,0.1037
"Jonathan Ford","DL","FR","Miami (FL)","ACC",2017,0.1037
"Braxton Berrios","WR","SR","Miami (FL)","ACC",2017,0.1037
"Ahmmon Richards","WR","SO","Miami (FL)","ACC",2017,0.1037
"Jordan Butler","OL","JR","Miami (FL)","ACC",2017,0.1037
"Mike Federspiel","LB","SO","Western Kentucky","Sun Belt",2011,0.1036
"Eric Anthony","DB","JR","Syracuse","ACC",2015,0.1036
"Travis Saxton","LB","FR","Boise State","Mountain West",2011,0.1035
"K.T. Tu'umalo","LB","SO","Colorado","Pac-12",2012,0.1035
"Vincent McConnell","OL","SO","Cincinnati","American",2019,0.1035
"Nick Staderman","DL","JR","Cincinnati","American",2019,0.1035
"Chris Ferguson","OL","SR","Cincinnati","American",2019,0.1035
"Kevin Mouhon","DL","SR","Cincinnati","American",2019,0.1035
"Darius Harper","OL","JR","Cincinnati","American",2019,0.1035
"Wyatt Fischer","WR","FR","Cincinnati","American",2019,0.1035
"Zach Wood","OL","SR","Cincinnati","American",2019,0.1035
"Thomas Geddis","WR","SR","Cincinnati","American",2019,0.1035
"Damani Harrison","LB","FR","East Carolina","American",2019,0.1035
"Chris White","DB","SO","FIU","CUSA",2016,0.1034
"Marice Fluellen","DB","SR","South Alabama","Sun Belt",2018,0.1034
"Josh Huff","WR","FR","Oregon","Pac-10",2010,0.1033
"Justin Hoffman","WR","SO","Oregon","Pac-10",2010,0.1033
"Brandon Tett","DL","SR","Oregon","Pac-10",2010,0.1033
"Carson York","OL","SO","Oregon","Pac-10",2010,0.1033
"Jordan Holmes","OL","SR","Oregon","Pac-10",2010,0.1033
"Darron Thomas","QB","SO","Oregon","Pac-10",2010,0.1033
"Drew Howell","OL","FR","Oregon","Pac-10",2010,0.1033
"Kurt Oehlbeck","LB","FR","Georgia Southern","Sun Belt",2014,0.1033
"Derrick Woods","WR","SO","Oklahoma","Big 12",2014,0.1033
"Ty Darlington","OL","JR","Oklahoma","Big 12",2014,0.1033
"David Smith","RB","SO","Oklahoma","Big 12",2014,0.1033
"Jed Barnett","P","SR","Oklahoma","Big 12",2014,0.1033
"Austin Jones","K","JR","Temple","American",2016,0.1033
"Tom Bradway","WR","JR","Temple","American",2016,0.1033
"Phillip Walker","QB","SR","Temple","American",2016,0.1033
"Jahad Thomas","RB","SR","Temple","American",2016,0.1033
"Alex Starzyk","P","JR","Temple","American",2016,0.1033
"Leon Johnson","OL","JR","Temple","American",2016,0.1033
"Dan Archibong","DL","FR","Temple","American",2016,0.1033
"Brodrick Yancy","WR","SO","Temple","American",2016,0.1033
"Jeromy Reichner","DL","FR","Temple","American",2016,0.1033
"Aaron Boumerhi","K","FR","Temple","American",2016,0.1033
"Ryquell Armstead","RB","SO","Temple","American",2016,0.1033
"Corey Lerch","OL","JR","Temple","American",2016,0.1033
"Jake Robinson","TE","FR","Temple","American",2016,0.1033
"Blake Stenstrom","QB","FR","Colorado","Pac-12",2019,0.1033
"Jaren Mangham","RB","FR","Colorado","Pac-12",2019,0.1033
"Tony Brown","WR","SR","Colorado","Pac-12",2019,0.1033
"Steven Montez","QB","SR","Colorado","Pac-12",2019,0.1033
"Maurice Bell","WR","SO","Colorado","Pac-12",2019,0.1033
"William Sherman","OL","SO","Colorado","Pac-12",2019,0.1033
"Alex Fontenot","RB","SO","Colorado","Pac-12",2019,0.1033
"Patrick O'Hara","K","JR","Oklahoma","Big 12",2011,0.1032
"Gabe Ikard","OL","SO","Oklahoma","Big 12",2011,0.1032
"Trent Ratterree","TE","SR","Oklahoma","Big 12",2011,0.1032
"Tress Way","P","JR","Oklahoma","Big 12",2011,0.1032
"Lane Johnson","OL","JR","Oklahoma","Big 12",2011,0.1032
"Trey Franks","WR","SO","Oklahoma","Big 12",2011,0.1032
"Roy Finch","RB","SO","Oklahoma","Big 12",2011,0.1032
"Brennan Clay","RB","SO","Oklahoma","Big 12",2011,0.1032
"Adam Breneman","TE","FR","Penn State","Big Ten",2013,0.1032
"Derek Dowrey","DL","FR","Penn State","Big Ten",2013,0.1032
"Jack Haffner","RB","FR","Penn State","Big Ten",2013,0.1032
"Zach Ladonis","OL","FR","Penn State","Big Ten",2013,0.1032
"Garry Gilliam","OL","JR","Penn State","Big Ten",2013,0.1032
"Zach Zwinak","RB","JR","Penn State","Big Ten",2013,0.1032
"Allen Robinson","WR","JR","Penn State","Big Ten",2013,0.1032
"Brandon Felder","WR","SR","Penn State","Big Ten",2013,0.1032
"Winston Chapman","OL","JR","Mississippi State","SEC",2014,0.1032
"Damian Williams","QB","SO","Mississippi State","SEC",2014,0.1032
"Hunter Bradley","TE","SO","Mississippi State","SEC",2014,0.1032
"Rashun Dixon","TE","FR","Mississippi State","SEC",2014,0.1032
"Rufus Warren","OL","JR","Mississippi State","SEC",2014,0.1032
"Robert Johnson","WR","SR","Mississippi State","SEC",2014,0.1032
"Fred Ross","WR","SO","Mississippi State","SEC",2014,0.1032
"Gabe Myles","WR","FR","Mississippi State","SEC",2014,0.1032
"JJ Jefferson","WR","FR","Northwestern","Big Ten",2018,0.1032
"Solomon Vault","WR","SR","Northwestern","Big Ten",2018,0.1032
"Cameron Green","RB","JR","Northwestern","Big Ten",2018,0.1032
"Charlie Fessler","WR","JR","Northwestern","Big Ten",2018,0.1032
"Jake Saunders","DL","SO","Northwestern","Big Ten",2018,0.1032
"Blake Hance","OL","SR","Northwestern","Big Ten",2018,0.1032
"TJ Green","QB","JR","Northwestern","Big Ten",2018,0.1032
"Trey Jones","DB","FR","Central Michigan","MAC",2019,0.1032
"Jacob Mangum-Farrar","LB","SO","Stanford","Pac-12",2019,0.1032
"Anthony Trinh","LB","SR","Stanford","Pac-12",2019,0.1032
"Kendrell Washington","DB","SO","Tulane","CUSA",2011,0.1031
"Brennan Clay","RB","JR","Oklahoma","Big 12",2012,0.1031
"Justin Brown","WR","SR","Oklahoma","Big 12",2012,0.1031
"Damien Williams","RB","JR","Oklahoma","Big 12",2012,0.1031
"Roy Finch","RB","JR","Oklahoma","Big 12",2012,0.1031
"Tress Way","P","SR","Oklahoma","Big 12",2012,0.1031
"Kevin Marquez","LB","JR","Rutgers","Big Ten",2015,0.1031
"Tyree Vines","DB","SO","South Alabama","Sun Belt",2016,0.1031
"Cam Turner","LB","FR","Miami (OH)","MAC",2017,0.1031
"Quayshun Smith","DB","SO","Massachusetts","MAC",2012,0.103
"Jarvis Landry","WR","JR","LSU","SEC",2013,0.103
"DeSean Smith","TE","FR","LSU","SEC",2013,0.103
"A'Trey-U Jones","DL","SR","LSU","SEC",2013,0.103
"Jeremy Hill","RB","SO","LSU","SEC",2013,0.103
"Trai Turner","OL","SO","LSU","SEC",2013,0.103
"Donald Freeman","LB","FR","Louisiana Tech","CUSA",2016,0.103
"Josh Wariboko-Alali","OL","FR","UCLA","Pac-12",2016,0.103
"Scott Quessenberry","OL","JR","UCLA","Pac-12",2016,0.103
"Adam Searl","P","SR","UCLA","Pac-12",2016,0.103
"Mike Fafaul","QB","SR","UCLA","Pac-12",2016,0.103
"Najee Toran","OL","JR","UCLA","Pac-12",2016,0.103
"JJ Molson","K","FR","UCLA","Pac-12",2016,0.103
"Soso Jamabo","RB","SO","UCLA","Pac-12",2016,0.103
"Giovanni Gentosi","TE","SO","UCLA","Pac-12",2016,0.103
"Kenneth Walker III","WR","SR","UCLA","Pac-12",2016,0.103
"Austin Kent","P","FR","UCLA","Pac-12",2016,0.103
"Aaron Covington","DB","SO","Toledo","MAC",2017,0.103
"Kyle Williams","WR","JR","Arizona State","Pac-12",2018,0.103
"Brandon Aiyuk","WR","JR","Arizona State","Pac-12",2018,0.103
"Willie Jones III","QB","SO","Texas State","Sun Belt",2018,0.103
"Tommy Simmons","OL","SR","Texas State","Sun Belt",2018,0.103
"Anthony D. Taylor","RB","JR","Texas State","Sun Belt",2018,0.103
"Robert Brown, Jr.","RB","SO","Texas State","Sun Belt",2018,0.103
"T.J. Graham","WR","FR","Texas State","Sun Belt",2018,0.103
"James Sherman","K","SR","Texas State","Sun Belt",2018,0.103
"Aaron Brewer","OL","JR","Texas State","Sun Belt",2018,0.103
"Javen Banks","WR","FR","Texas State","Sun Belt",2018,0.103
"Reece Jordan","OL","SO","Texas State","Sun Belt",2018,0.103
"Justin Warner","OL","JR","Texas State","Sun Belt",2018,0.103
"B.J. Smith","RB","JR","Troy","Sun Belt",2018,0.103
"Tristan Crowder","OL","JR","Troy","Sun Belt",2018,0.103
"Luke Whittemore","WR","FR","Troy","Sun Belt",2018,0.103
"Tyler Sumpter","K","SO","Troy","Sun Belt",2018,0.103
"Deondre Douglas","WR","SR","Troy","Sun Belt",2018,0.103
"John Hines","DL","SO","Troy","Sun Belt",2018,0.103
"DK Billingsley","RB","FR","Troy","Sun Belt",2018,0.103
"Deontae Crumitie","OL","SR","Troy","Sun Belt",2018,0.103
"Damion Willis","WR","SR","Troy","Sun Belt",2018,0.103
"Demontrez Brown","WR","FR","Troy","Sun Belt",2018,0.103
"Vintavious Cooper","RB","SR","East Carolina","CUSA",2013,0.1029
"Trent Tignor","K","SR","East Carolina","CUSA",2013,0.1029
"John Barnes-Smith","RB","JR","East Carolina","CUSA",2013,0.1029
"Cam Worthy","WR","JR","East Carolina","CUSA",2013,0.1029
"C.J. Struyk","OL","SO","East Carolina","CUSA",2013,0.1029
"Trey Eason","RB","FR","East Carolina","CUSA",2013,0.1029
"James Gordon IV","LB","FR","Minnesota","Big Ten",2019,0.1029
"Noah Cheshier","WR","FR","Louisiana Tech","WAC",2011,0.1028
"Taulib Ikharo","WR","SR","Louisiana Tech","WAC",2011,0.1028
"Lyle Fitte","RB","JR","Louisiana Tech","WAC",2011,0.1028
"Hunter Lee","RB","FR","Louisiana Tech","WAC",2011,0.1028
"Jordan Mills","OL","JR","Louisiana Tech","WAC",2011,0.1028
"Richie Casey","WR","JR","Louisiana Tech","WAC",2011,0.1028
"Kevin Kisseberth","DL","FR","Louisiana Tech","WAC",2011,0.1028
"Josh Cuthbert","OL","SO","Louisiana Tech","WAC",2011,0.1028
"Colby Cameron","QB","JR","Louisiana Tech","WAC",2011,0.1028
"David Gru","WR","JR","Louisiana Tech","WAC",2011,0.1028
"Quinton Patton","WR","JR","Louisiana Tech","WAC",2011,0.1028
"Anthony Pohahau","LB","FR","San Jose State","WAC",2010,0.1027
"Devon Wharton","DL","SO","Western Kentucky","CUSA",2018,0.1027
"Lichon Terrell","DL","FR","Western Kentucky","CUSA",2018,0.1027
"Jay Gibson","TE","FR","Western Kentucky","CUSA",2018,0.1027
"Miles Pate","OL","JR","Western Kentucky","CUSA",2018,0.1027
"Mason Brooks","OL","FR","Western Kentucky","CUSA",2018,0.1027
"KeShawn McClendon","RB","FR","Western Kentucky","CUSA",2018,0.1027
"DeVon Quincy","DL","SO","Western Kentucky","CUSA",2018,0.1027
"Russell Brown","WR","FR","Western Kentucky","CUSA",2018,0.1027
"Gino Appleberry, Jr.","RB","FR","Western Kentucky","CUSA",2018,0.1027
"Jahcour Pearson","WR","SO","Western Kentucky","CUSA",2018,0.1027
"Quin Jernighan","WR","JR","Western Kentucky","CUSA",2018,0.1027
"Jordan Kerley","WR","FR","Arizona State","Pac-12",2019,0.1027
"Anthonie Cooper","DL","FR","Arizona State","Pac-12",2019,0.1027
"Brandon Aiyuk","WR","SR","Arizona State","Pac-12",2019,0.1027
"Ethan Long","QB","FR","Arizona State","Pac-12",2019,0.1027
"Stephon Wright","DL","FR","Arizona State","Pac-12",2019,0.1027
"Kenny Yeboah","TE","JR","Temple","American",2019,0.1027
"Shane Hogarth","DL","SO","Temple","American",2019,0.1027
"Matt Hennessy","OL","JR","Temple","American",2019,0.1027
"Isaac Moore","OL","SO","Temple","American",2019,0.1027
"Jose Barbon","WR","FR","Temple","American",2019,0.1027
"Edward Saydee","RB","FR","Temple","American",2019,0.1027
"Todd Centeio","QB","SO","Temple","American",2019,0.1027
"Silas Dzansi","OL","SO","Virginia Tech","ACC",2019,0.1027
"Oscar Shadley","OL","SO","Virginia Tech","ACC",2019,0.1027
"Jaden Cunningham","DL","JR","Virginia Tech","ACC",2019,0.1027
"Quincy Patterson II","QB","FR","Virginia Tech","ACC",2019,0.1027
"John Parker Romo","K","JR","Virginia Tech","ACC",2019,0.1027
"Colton Beebe","TE","FR","Minnesota","Big Ten",2015,0.1026
"Foster Bush","OL","SR","Minnesota","Big Ten",2015,0.1026
"KJ Maye","WR","SR","Minnesota","Big Ten",2015,0.1026
"Jon Christenson","OL","SR","Minnesota","Big Ten",2015,0.1026
"John-Patrick Sherling","LB","JR","Ole Miss","SEC",2016,0.1026
"Jordan Floyd","DB","FR","Connecticut","American",2013,0.1025
"D.J. Hunter","LB","FR","San Diego State","Mountain West",2013,0.1025
"Rhett Sandlin","LB","FR","BYU","Independent",2015,0.1025
"Scott Huntsman","LB","FR","BYU","Independent",2015,0.1025
"Phillip Amone","LB","FR","BYU","Independent",2015,0.1025
"Jeffery Johnson","DB","FR","Western Michigan","MAC",2015,0.1025
"Justin Sears-Motley","DB","JR","Western Michigan","MAC",2015,0.1025
"Lubern Figaro","DB","SO","Wisconsin","Big Ten",2015,0.1025
"Terrance Floyd","DB","SR","Wisconsin","Big Ten",2015,0.1025
"Xavier Gaines","TE","SO","Marshall","CUSA",2018,0.1025
"Alex Thomson","QB","JR","Marshall","CUSA",2018,0.1025
"Rodney Croom","DL","FR","Marshall","CUSA",2018,0.1025
"Will Ulmer","OL","SO","Marshall","CUSA",2018,0.1025
"Tyler King","RB","SO","Marshall","CUSA",2018,0.1025
"Sam Burton","DL","FR","Marshall","CUSA",2018,0.1025
