Player,Pos,Class,School,Conference,Year,Passing,Rushing,Receiving,Total
DeVontres Dukes,WR,SO,USF,American,2017,,,0.204280391,0.204280391
Chris Cunningham,TE,SR,Old Dominion,CUSA,2019,,0.003583906,0.200660855,0.204244761
Curtis Hodges,WR,FR,Arizona State,Pac-12,2017,,,0.204211472,0.204211472
Justin Johnson,WR,FR,Mississippi State,SEC,2015,,,0.204207904,0.204207904
Brenden Motley,QB,SO,Virginia Tech,ACC,2014,0.022593644,0.181547414,,0.204141058
Justin Rigg,TE,SO,Kentucky,SEC,2017,,,0.204053714,0.204053714
Justin Tukes,TE,SR,UCF,American,2014,,,0.203980463,0.203980463
Bryce Wolma,TE,JR,Arizona,Pac-12,2019,,,0.203885044,0.203885044
Danny Friend,TE,SO,Indiana,Big Ten,2015,,,0.203876234,0.203876234
Maurice Burkley,RB,JR,Louisville,ACC,2019,,0.20383258,,0.20383258
Chance Blackmon,WR,JR,Houston,CUSA,2011,,,0.20383174,0.20383174
Noah Togiai,TE,FR,Oregon State,Pac-12,2015,,,0.20382737,0.20382737
Joe Schobert,LB,JR,Wisconsin,Big Ten,2015,,0.203826036,,0.203826036
Kyle Prater,WR,JR,Northwestern,Big Ten,2013,,,0.203798744,0.203798744
Nolan Peralta,TE,SO,Colorado State,Mountain West,2014,,0,0.203776386,0.203776386
Rantavious Wooten,WR,JR,Georgia,SEC,2011,,,0.20374053,0.20374053
Daniel Arias,WR,SO,Colorado,Pac-12,2019,,,0.203726281,0.203726281
Mossi Johnson,WR,SO,UCLA,Pac-12,2015,,0.003992549,0.19972406,0.203716609
Connor Bazelak,QB,FR,Missouri,SEC,2019,0.19822947,0.00541265,,0.20364212
Sylvester Hemphill,RB,SR,Mississippi State,SEC,2012,,,0.203636485,0.203636485
Cedric Peterson,WR,FR,Arizona,Pac-12,2016,,,0.20353414,0.20353414
Reed Tyler,RB,FR,Arkansas State,Sun Belt,2018,,,0.203489912,0.203489912
Jarid Brown,WR,JR,Ohio,MAC,2016,,,0.203401873,0.203401873
Cameron Decell,ST,SO,Rice,CUSA,2014,,,0.20319761,0.20319761
Kerry Thomas,WR,FR,UTSA,CUSA,2014,,,0.203192499,0.203192499
Justen Hervey,RB,FR,Utah State,Mountain West,2015,,0.203057431,,0.203057431
Nate Craig-Myers,WR,JR,Auburn,SEC,2018,,,0.202998748,0.202998748
Roy Smith,WR,FR,North Carolina,ACC,2012,,,0.202947557,0.202947557
Robert Hollomon,RB,FR,Kent State,MAC,2011,,0.202904697,,0.202904697
Joshua Moore,WR,FR,Texas,Big 12,2018,,,0.202883794,0.202883794
Alex Dennison,TE,SR,Buffalo,MAC,2013,,0,0.202862879,0.202862879
Justin Chandler,TE,SR,Iowa State,Big 12,2016,,,0.202789003,0.202789003
Jamie Boyle,ST,SR,UCF,CUSA,2012,,0.202723738,,0.202723738
David Reeves,TE,SO,Duke,ACC,2013,,,0.202716996,0.202716996
Tony Zenon,RB,JR,Georgia Tech,ACC,2013,,0.157536483,0.045167501,0.202703984
John Moten IV,RB,SO,Northwestern,Big Ten,2017,,0.20258553,,0.20258553
Christoph Henle,TE,SO,Baylor,Big 12,2019,,,0.202537753,0.202537753
Chris James,WR,SR,Illinois,Big Ten,2010,,,0.202536615,0.202536615
Will Randolph,RB,FR,Texas A&M,Big 12,2011,,0.202519137,,0.202519137
Sam Mays,WR,FR,Illinois,Big Ten,2015,,,0.202454445,0.202454445
Laquan McGowan,TE,SR,Baylor,Big 12,2015,,0.012010679,0.190438795,0.202449474
Andre Smith,TE,SO,Arkansas State,Sun Belt,2010,,,0.202349437,0.202349437
Brad Pearson,WR,SO,Texas Tech,Big 12,2013,,,0.202313463,0.202313463
Darryl Richardson,TE,JR,San Diego State,Mountain West,2016,,,0.202248639,0.202248639
Riley Burt,RB,SO,BYU,Independent,2017,,0.195265839,0.006942211,0.20220805
Khary Franklin,RB,JR,Troy,Sun Belt,2012,,0.075796179,0.126339684,0.202135863
Javonte Woodard,WR,JR,Louisiana Tech,CUSA,2018,,,0.202115854,0.202115854
